"OrdemFisica";"Sigla";"Letra";"NomeVisivel";"NomeTecnico";"HostId";"SelementId";"XAntes";"YAntes";"XDepois";"YDepois";"OcupanteAtualDoSlot";"AlterarPosicao"
"36";"IVP";"I";"TEL-GTW-VHF_IVP_ControlOne";"TEL-GTW-VHF_IVP_ControlOne";"12172";"700";"301";"451";"301";"451";"IVP";"False"
"37";"JAS";"J";"TEL-GTW-VHF_JAS_ControlOne";"TEL-GTW-VHF_JAS_ControlOne";"16834";"6725";"501";"451";"501";"451";"JAS";"False"
"38";"JLB";"J";"TEL-GTW-VHF_JLB_ControlOne";"TEL-GTW-VHF_JLB_ControlOne";"15998";"4644";"701";"451";"701";"451";"JLB";"False"
"39";"JNO";"J";"TEL-GTW-VHF_JNO_ControlOne";"TEL-GTW-VHF_JNO_ControlOne";"12171";"701";"901";"451";"901";"451";"JNO";"False"
"40";"JOI";"J";"TEL-GTW-VHF_JOI_ControlOne";"TEL-GTW-VHF_JOI_ControlOne";"12170";"702";"1101";"451";"1101";"451";"JOI";"False"
"41";"JSU";"J";"TEL-GTW-VHF_JSU_ControlOne";"TEL-GTW-VHF_JSU_ControlOne";"19968";"10453";"1301";"451";"1301";"451";"JSU";"False"
"42";"LAR";"L";"TEL-GTW-VHF_LAR_ControlOne";"TEL-GTW-VHF_LAR_ControlOne";"12169";"703";"1501";"451";"1501";"451";"LAR";"False"
"43";"LGR";"L";"TEL-GTW-VHF_LGR_ControlOne";"TEL-GTW-VHF_LGR_ControlOne";"12168";"704";"1701";"451";"1701";"451";"LGR";"False"
"44";"LIV3";"L";"TEL-GTW-VHF_LIV3_ControlOne";"TEL-GTW-VHF_LIV3_ControlOne";"19969";"10454";"101";"551";"101";"551";"LIV3";"False"
"45";"LNS";"L";"TEL-GTW-VHF_LNS_ControlOne";"TEL-GTW-VHF_LNS_ControlOne";"12167";"705";"301";"551";"301";"551";"LNS";"False"
"46";"LON";"L";"TEL-GTW-VHF_LON_ControlOne";"TEL-GTW-VHF_LON_ControlOne";"12166";"706";"701";"551";"701";"551";"LON";"False"
"47";"MCH";"M";"TEL-GTW-VHF_MCH_ControlOne";"TEL-GTW-VHF_MCH_ControlOne";"12165";"707";"901";"551";"901";"551";"MCH";"False"
"48";"MCL";"M";"TEL-GTW-VHF_MCL_ControlOne";"TEL-GTW-VHF_MCL_ControlOne";"12164";"708";"1101";"551";"1101";"551";"MCL";"False"
"49";"MIM";"M";"TEL-GTW-VHF_MIM_ControlOne";"TEL-GTW-VHF_MIM_ControlOne";"12163";"709";"1301";"551";"1301";"551";"MIM";"False"
"50";"MIS";"M";"TEL-GTW-VHF_MIS_ControlOne";"TEL-GTW-VHF_MIS_ControlOne";"12162";"710";"1501";"551";"1501";"551";"MIS";"False"
"51";"MRO2";"M";"TEL-GTW-VHF_MRO2_ControlOne";"TEL-GTW-VHF_MRO2_ControlOne";"12161";"711";"1701";"551";"1701";"551";"MRO2";"False"
"52";"NPE2";"N";"TEL-GTW-VHF_NPE2_ControlOne";"TEL-GTW-VHF_NPE2_ControlOne";"12160";"712";"101";"651";"101";"651";"NPE2";"False"
"53";"NSR";"N";"TEL-GTW-VHF_NSR_ControlOne";"TEL-GTW-VHF_NSR_ControlOne";"12159";"713";"301";"651";"301";"651";"NSR";"False"
"54";"OSO2";"O";"TEL-GTW-VHF_OSO2_ControlOne";"TEL-GTW-VHF_OSO2_ControlOne";"12158";"714";"501";"651";"501";"651";"OSO2";"False"
"55";"PAL";"P";"TEL-GTW-VHF_PAL_ControlOne";"TEL-GTW-VHF_PAL_ControlOne";"12157";"715";"701";"651";"701";"651";"PAL";"False"
"56";"PFU";"P";"TEL-GTW-VHF_PFU_ControlOne";"TEL-GTW-VHF_PFU_ControlOne";"12155";"717";"901";"651";"901";"651";"PFU";"False"
"57";"PGR";"P";"TEL-GTW-VHF_PGR_ControlOne";"TEL-GTW-VHF_PGR_ControlOne";"12154";"718";"1101";"651";"1101";"651";"PGR";"False"
"58";"PIN2";"P";"TEL-GTW-VHF_PIN2_ControlOne";"TEL-GTW-VHF_PIN2_ControlOne";"12153";"719";"1301";"651";"1301";"651";"PIN2";"False"
"59";"PNO";"P";"TEL-GTW-VHF_PNO_ControlOne";"TEL-GTW-VHF_PNO_ControlOne";"12202";"720";"1501";"651";"1501";"651";"PNO";"False"
