"hostid";"host";"name"
"18244";"FCO-2T4PA1";"FCO-2T4PA1"
"18245";"FCO-2T4PP1";"FCO-2T4PP1"
"14602";"FCORDP_230_1";"FCORDP_230_1"
"14603";"FCORDP_230_2";"FCORDP_230_2"
"14604";"FCORDP_230_3";"FCORDP_230_3"
"14605";"FCORDP_230_4";"FCORDP_230_4"
"20090";"FCORDP_230_5";"FCORDP_230_5"
"17029";"fco-sw1";"fco-sw1"
"17030";"fco-sw2";"fco-sw2"
"17031";"fco-sw3";"fco-sw3"
"17032";"fco-sw4";"fco-sw4"
"17033";"fco-sw5";"fco-sw5"
"17034";"fco-sw6";"fco-sw6"
"16777";"fco-tmo";"fco-tmo"
"18249";"FCO-UCD1";"FCO-UCD1"
"18204";"FCO-UCD1_";"FCO-UCD1_"
"18210";"FCO-UCD1__";"FCO-UCD1__"
"18254";"FCO-UCD1___";"FCO-UCD1___"
"18211";"FCO-UCD1_X";"FCO-UCD1_X"
"18205";"FCO-UCD2";"FCO-UCD2"
"18212";"FCO-UCD2_";"FCO-UCD2_"
"18250";"FCO-UCD2__";"FCO-UCD2__"
"18255";"FCO-UCD2___";"FCO-UCD2___"
"18217";"FCO-UCP1";"FCO-UCP1"
"14051";"FCO-UCS1";"FCO-UCS1"
"16252";"FCO-UCS1-alta";"FCO-UCS1-alta"
"14052";"FCO-UCS2";"FCO-UCS2"
"16253";"FCO-UCS2-baixa";"FCO-UCS2-baixa"
"18203";"FCO-UPD1";"FCO-UPD1"
"18248";"FCO-UPD1_";"FCO-UPD1_"
"18253";"FCO-UPD1__";"FCO-UPD1__"
"18206";"FCO-UPD2";"FCO-UPD2"
"18251";"FCO-UPD2_";"FCO-UPD2_"
"18256";"FCO-UPD2__";"FCO-UPD2__"
"18207";"FCO-UPD4";"FCO-UPD4"
"18213";"FCO-UPD4_";"FCO-UPD4_"
"18252";"FCO-UPD4__";"FCO-UPD4__"
"18257";"FCO-UPD4___";"FCO-UPD4___"
"18214";"FCO-UPDB";"FCO-UPDB"
"16008";"FHA_HL_RGR";"FHA_HL_RGR"
"14428";"FHA_HL2";"FHA_HL2"
"13870";"FHA_HOTLINES";"FHA_HOTLINES"
"16009";"FHA_HOTLINES_eth1_rgr";"FHA_HOTLINES_eth1_rgr"
"15576";"FHA_HOTLINES_eth2";"FHA_HOTLINES_eth2"
"13827";"FHA_PRI";"FHA_PRI"
"13940";"FHA_SEC";"FHA_SEC"
"18258";"FHA-2L1PAC";"FHA-2L1PAC"
"18259";"FHA-2L1PPC";"FHA-2L1PPC"
"18261";"FHA-2L2PA1";"FHA-2L2PA1"
"18262";"FHA-2L2PP1";"FHA-2L2PP1"
"16558";"FHA-DM705-01";"FHA-DM705-01"
"16559";"FHA-DM705-02";"FHA-DM705-02"
"16750";"FHA-DM706KE-remota";"FHA-DM706KE-remota"
"16450";"FHA-DM880-01";"FHA-DM880-01"
"16451";"FHA-DM880-02";"FHA-DM880-02"
"14606";"FHARDP_230_1";"FHARDP_230_1"
"10735";"fha-rgr-20.131.125";"fha-rgr-20.131.125"
"17035";"fha-sw1";"fha-sw1"
"17036";"fha-sw2";"fha-sw2"
"17037";"fha-sw3";"fha-sw3"
"17038";"fha-sw4";"fha-sw4"
"16778";"fha-tmo";"fha-tmo"
"18260";"FHA-UCL";"FHA-UCL"
"18263";"FHA-UCL_D";"FHA-UCL_D"
"18264";"FHA-UCL_P";"FHA-UCL_P"
"14247";"FHA-UCS1";"FHA-UCS1"
"16254";"FHA-UCS1-alta";"FHA-UCS1-alta"
"14248";"FHA-UCS2";"FHA-UCS2"
"16255";"FHA-UCS2-baixa";"FHA-UCS2-baixa"
"10998";"FW-ARE-PRI";"FW-ARE-PRI"
"10999";"FW-ARE-SEC";"FW-ARE-SEC"
"11004";"FW-BIG-PRI";"FW-BIG-PRI"
"11005";"FW-BIG-SEC";"FW-BIG-SEC"
"11006";"FW-BLU-PRI";"FW-BLU-PRI"
"11007";"FW-BLU-SEC";"FW-BLU-SEC"
"16070";"FW-CCH-PRI";"FW-CCH-PRI"
"16071";"FW-CCH-SEC";"FW-CCH-SEC"
"11000";"FW-CNO-PRI";"FW-CNO-PRI"
"11001";"FW-CNO-SEC";"FW-CNO-SEC"
"13186";"FW-COSE-PRI";"FW-COSE-PRI"
"13187";"FW-COSE-SEC";"FW-COSE-SEC"
"11002";"FW-LON-PRI";"FW-LON-PRI"
"11003";"FW-LON-SEC";"FW-LON-SEC"
"12887";"FW-MRO2-PRI";"FW-MRO2-PRI"
"12888";"FW-MRO2-SEC";"FW-MRO2-SEC"
"10997";"FW-NSR-PRI";"FW-NSR-PRI"
"10996";"FW-NSR-SEC";"FW-NSR-SEC"
"14904";"FW-PNO-PRI";"FW-PNO-PRI"
"14905";"FW-PNO-SEC";"FW-PNO-SEC"
"12889";"FW-SPA2-PRI";"FW-SPA2-PRI"
"12890";"FW-SPA2-SEC";"FW-SPA2-SEC"
"14429";"GAR1_HL1";"GAR1_HL1"
"14430";"GAR1_HL2";"GAR1_HL2"
