"Nome","Hostname","IP","Status","Grupo"
"SW3-LAR","SW3-LAR","10.6.40.1","Desabilitado",""
"SW3-CAP_JLB","SW3-CAP_JLB","10.6.41.1","Desabilitado",""
"SW3-DOU","SW3-DOU","10.6.42.1","Desabilitado",""
"SW3-PAL","SW3-PAL","10.6.43.1","Desabilitado",""
"yta-rgr-59.254","yta-rgr-59.254","172.16.78.253","Desabilitado",""
"SW3-RGR-SED94-18.254","SW3-RGR-SED94-18.254","10.240.18.254","Desabilitado",""
"SW3-RGR-BIG-19.16.5","SW3-RGR-BIG-19.16.5","172.19.16.5","Desabilitado",""
"SW3-RGR-BLU-24.254","SW3-RGR-BLU-24.254","10.240.24.254","Desabilitado",""
"SW3-RGR-CAX-26.254","SW3-RGR-CAX-26.254","10.240.26.254","Desabilitado",""
"cba-rgr-255.19","cba-rgr-255.19","172.19.255.19","Desabilitado",""
"SW3-RGR-CMO-31.254","SW3-RGR-CMO-31.254","10.240.31.254","Desabilitado",""
"SW3-RGR-CNO-32.254","SW3-RGR-CNO-32.254","10.240.32.254","Desabilitado",""
"SW3-RGR-DRO-34.254","SW3-RGR-DRO-34.254","10.240.34.254","Desabilitado",""
"SW3-RGR-GRA-38.254","SW3-RGR-GRA-38.254","10.240.38.254","Desabilitado",""
"SW3-RGR-ITJ-40.254","SW3-RGR-ITJ-40.254","10.240.40.254","Desabilitado",""
"SW3-RGR-IVP-41.254","SW3-RGR-IVP-41.254","10.240.41.254","Desabilitado",""
"SW3-RGR-JLB-43.254","SW3-RGR-JLB-43.254","10.240.43.254","Desabilitado",""
"SW3-RGR-JOI-44.254","SW3-RGR-JOI-44.254","10.240.44.254","Desabilitado",""
"SW3-RGR-LGR-45.254","SW3-RGR-LGR-45.254","10.240.45.254","Desabilitado",""
"SW3-RGR-LON-46.254","SW3-RGR-LON-46.254","10.240.46.254","Desabilitado",""
"ARE_PRI1","ARE_PRI1","172.30.33.1","Desabilitado",""
"ARE_PRI2","ARE_PRI2","172.30.33.2","Desabilitado",""
"SW3-RGR-NSR-49.254","SW3-RGR-NSR-49.254","10.240.49.254","Desabilitado",""
"SW3-RGR-PAL-50.254","SW3-RGR-PAL-50.254","10.240.50.254","Desabilitado",""
"SW3-RGR-PFU-51.254","SW3-RGR-PFU-51.254","10.240.51.254","Desabilitado",""
"SW3-RGR-SOS-53.254","SW3-RGR-SOS-53.254","10.240.53.254","Desabilitado",""
"SW3-RGR-OSO2-60.254","SW3-RGR-OSO2-60.254","10.240.60.254","Desabilitado",""
"SW3-RGR-GRA3-62.254","SW3-RGR-GRA3-62.254","10.240.62.254","Desabilitado",""
"SW3-RGR-JNO-67.254","SW3-RGR-JNO-67.254","10.240.67.254","Desabilitado",""
"SW3-RGR-ASS-68.254","SW3-RGR-ASS-68.254","10.240.68.254","Desabilitado",""
"SW3-RGR-MIS-70.254","SW3-RGR-MIS-70.254","10.240.70.254","Desabilitado",""
"SW3-RGR-CCH-75.254","SW3-RGR-CCH-75.254","10.240.75.254","Desabilitado",""
"SW3-RGR-LIV2-78.254","SW3-RGR-LIV2-78.254","10.240.78.254","Desabilitado",""
"CNO_PRI1","CNO_PRI1","172.30.64.1","Desabilitado",""
"CNO_SEC1","CNO_SEC1","172.31.64.1","Desabilitado",""
"CNO_PRI2","CNO_PRI2","172.30.64.2","Desabilitado",""
"CNO_SEC2","CNO_SEC2","172.31.64.2","Desabilitado",""
"BLU_PRI1","BLU_PRI1","172.30.65.1","Desabilitado",""
"BLU_SEC1","BLU_SEC1","172.31.65.1","Desabilitado",""
"BLU_PRI2","BLU_PRI2","172.30.65.2","Desabilitado",""
"BLU_SEC2","BLU_SEC2","172.31.65.2","Desabilitado",""
"NSR_PRI1","NSR_PRI1","172.30.89.1","Desabilitado",""
"NSR_SEC1","NSR_SEC1","172.31.89.1","Desabilitado",""
"NSR_PRI2","NSR_PRI2","172.30.89.2","Desabilitado",""
"NSR_SEC2","NSR_SEC2","172.31.89.2","Desabilitado",""
"SW3-RGR-CAN-25.254","SW3-RGR-CAN-25.254","10.240.25.254","Desabilitado",""
"cch-rgr-vsat-20.20.253","cch-rgr-vsat-20.20.253","10.240.75.253","Desabilitado",""
"SED-RGR-VSAT","SED-RGR-VSAT","172.19.0.117","Desabilitado",""
"uhjb-rgr-vsat-20.24.253","uhjb-rgr-vsat-20.24.253","172.20.24.253","Desabilitado",""
"SED-FW1-BORDA","SED-FW1-BORDA","172.30.1.11","Desabilitado",""
"SED-FW2-BORDA","SED-FW2-BORDA","172.30.1.12","Desabilitado",""
"ana-rgr-21.254","ana-rgr-21.254","172.19.32.245","Desabilitado",""
"cax5-rgr-27.254","cax5-rgr-27.254","172.16.79.61","Desabilitado",""
"cgr-rgr-29.254","cgr-rgr-29.254","10.240.29.254","Desabilitado",""
"cha-rgr-30.254","cha-rgr-30.254","10.240.30.254","Desabilitado",""
"dou-rgr-20.176.125","dou-rgr-20.176.125","172.20.176.125","Desabilitado",""
"far-rgr-36.254","far-rgr-36.254","10.240.36.254","Desabilitado",""
"mch-rgr-47.254","mch-rgr-47.254","10.240.47.254","Desabilitado",""
"mcl-rgr-48.254","mcl-rgr-48.254","10.240.48.254","Desabilitado",""
"pme-rgr-65.254","pme-rgr-65.254","10.240.65.254","Desabilitado",""
"SW3-RGR-ABT-20.166.125","SW3-RGR-ABT-20.166.125","172.20.166.125","Desabilitado",""
"SW3-RGR-ARE-16.70.253","SW3-RGR-ARE-16.70.253","172.16.70.253","Desabilitado",""
"cax-rgr-24.54","cax-rgr-24.54","172.19.24.54","Desabilitado",""
"SW3-RGR-FCO-20.141.125","SW3-RGR-FCO-20.141.125","172.20.141.125","Desabilitado",""
"SW3-RGR-GAS2-20.167.125","SW3-RGR-GAS2-20.167.125","172.20.167.125","Desabilitado",""
"gra-rgr-24.8","gra-rgr-24.8","172.19.24.8","Desabilitado",""
"gra-rgr-24.9","gra-rgr-24.9","172.19.24.9","Desabilitado",""
"gra-rgr-40.42","gra-rgr-40.42","172.19.40.42","Desabilitado",""
"grt-rgr-20.142.125","grt-rgr-20.142.125","172.20.142.125","Desabilitado",""
"SW3-RGR-IJU2-20.137.125","SW3-RGR-IJU2-20.137.125","172.20.137.125","Desabilitado",""
"nsr-rgr-24.10","nsr-rgr-24.10","172.19.24.10","Desabilitado",""
"pfu-rgr-8.38","pfu-rgr-8.38","172.19.8.38","Desabilitado",""
"SW3-RGR-SED1","SW3-RGR-SED1","172.19.255.1","Desabilitado",""
"SW3-RGR-SED2","SW3-RGR-SED2","172.19.255.2","Desabilitado",""
"sid-rgr-24.34","sid-rgr-24.34","172.19.24.34","Desabilitado",""
"pin2-rgr-20.169.125","pin2-rgr-20.169.125","172.20.169.125","Desabilitado",""
"pno-rgr-19.40.181","pno-rgr-19.40.181","172.19.40.181","Desabilitado",""
"lns-rgr-20.200.125","lns-rgr-20.200.125","172.20.200.125","Desabilitado",""
"pgr-rgr-20.199.125","pgr-rgr-20.199.125","172.20.199.125","Desabilitado",""
"vin-rgr-20.178.125","vin-rgr-20.178.125","172.20.178.125","Desabilitado",""
"npr2-rgr-20.171.125","npr2-rgr-20.171.125","172.20.171.125","Desabilitado",""
"ivi2-rgr-20.168.125","ivi2-rgr-20.168.125","172.20.168.125","Desabilitado",""
"pme-rgr-161.123","pme-rgr-161.123","172.20.161.123","Desabilitado",""
"lna-rgr-20.157.125","lna-rgr-20.157.125","172.20.157.125","Desabilitado",""
"qui-rgr-20.156.125","qui-rgr-20.156.125","172.20.156.125","Desabilitado",""
