"Nome";"IP";"Grupo"
"SW3-RGR-LGR-45.254";"10.240.45.254";"SW-Extreme"
"SW3-RGR-LON-46.254";"10.240.46.254";"SW-Extreme"
"ARE_PRI1";"172.30.33.1";"Discovered hosts"
"ARE_PRI2";"172.30.33.2";"Discovered hosts"
"SW3-RGR-NSR-49.254";"10.240.49.254";"SW-Extreme"
"SW3-RGR-PAL-50.254";"10.240.50.254";"SW-Extreme"
"SW3-RGR-PFU-51.254";"10.240.51.254";"SW-Extreme"
"SW3-RGR-SOS-53.254";"10.240.53.254";"SW-Extreme"
"SW3-RGR-OSO2-60.254";"10.240.60.254";"SW-Extreme"
"SW3-RGR-GRA3-62.254";"10.240.62.254";"SW-Extreme"
"SW3-RGR-JNO-67.254";"10.240.67.254";"SW-Extreme"
"SW3-RGR-ASS-68.254";"10.240.68.254";"SW-Extreme"
"SW3-RGR-MIS-70.254";"10.240.70.254";"SW-Extreme"
"SW3-RGR-CCH-75.254";"10.240.75.254";"SW-Extreme"
"SW3-RGR-LIV2-78.254";"10.240.78.254";"SW-Extreme"
"CNO_PRI1";"172.30.64.1";"Discovered hosts"
"CNO_SEC1";"172.31.64.1";"Discovered hosts"
"CNO_PRI2";"172.30.64.2";"Discovered hosts"
"CNO_SEC2";"172.31.64.2";"Discovered hosts"
"BLU_PRI1";"172.30.65.1";"Discovered hosts"
"BLU_SEC1";"172.31.65.1";"Discovered hosts"
"BLU_PRI2";"172.30.65.2";"Discovered hosts"
"BLU_SEC2";"172.31.65.2";"Discovered hosts"
"NSR_PRI1";"172.30.89.1";"Discovered hosts"
"NSR_SEC1";"172.31.89.1";"Discovered hosts"
"NSR_PRI2";"172.30.89.2";"Discovered hosts"
"NSR_SEC2";"172.31.89.2";"Discovered hosts"
"SW3-RGR-CAN-25.254";"10.240.25.254";"SW-Extreme"
"cch-rgr-vsat-20.20.253";"10.240.75.253";"Industrial"
"SED-RGR-VSAT";"172.19.0.117";"Industrial"
"uhjb-rgr-vsat-20.24.253";"172.20.24.253";"Industrial"
"SED-FW1-BORDA";"172.30.1.11";"Industrial"
"SED-FW2-BORDA";"172.30.1.12";"Industrial"
"ana-rgr-21.254";"172.19.32.245";"Industrial"
"cax5-rgr-27.254";"172.16.79.61";"Industrial"
"cgr-rgr-29.254";"10.240.29.254";"Industrial"
"cha-rgr-30.254";"10.240.30.254";"Industrial"
"dou-rgr-20.176.125";"172.20.176.125";"Industrial"
"far-rgr-36.254";"10.240.36.254";"Industrial"
"mch-rgr-47.254";"10.240.47.254";"Industrial"
"mcl-rgr-48.254";"10.240.48.254";"Industrial"
"pme-rgr-65.254";"10.240.65.254";"Industrial"
"SW3-RGR-ABT-20.166.125";"172.20.166.125";"SW-Extreme"
"SW3-RGR-ARE-16.70.253";"172.16.70.253";"SW-Extreme"
"cax-rgr-24.54";"172.19.24.54";"Industrial"
"SW3-RGR-FCO-20.141.125";"172.20.141.125";"SW-Extreme"
"SW3-RGR-GAS2-20.167.125";"172.20.167.125";"SW-Extreme"
"gra-rgr-24.8";"172.19.24.8";"Industrial"
"gra-rgr-24.9";"172.19.24.9";"Industrial"
"gra-rgr-40.42";"172.19.40.42";"Industrial"
"grt-rgr-20.142.125";"172.20.142.125";"Industrial"
"SW3-RGR-IJU2-20.137.125";"172.20.137.125";"SW-Extreme"
"nsr-rgr-24.10";"172.19.24.10";"Industrial"
"pfu-rgr-8.38";"172.19.8.38";"Industrial"
"SW3-RGR-SED1";"172.19.255.1";"SW-Extreme"
"SW3-RGR-SED2";"172.19.255.2";"SW-Extreme"
"sid-rgr-24.34";"172.19.24.34";"Industrial"
"pin2-rgr-20.169.125";"172.20.169.125";"Discovered hosts"
"pno-rgr-19.40.181";"172.19.40.181";"Industrial"
"lns-rgr-20.200.125";"172.20.200.125";"Discovered hosts"
"pgr-rgr-20.199.125";"172.20.199.125";"Industrial"
"vin-rgr-20.178.125";"172.20.178.125";"Discovered hosts"
"npr2-rgr-20.171.125";"172.20.171.125";"Industrial"
"ivi2-rgr-20.168.125";"172.20.168.125";"Industrial"
"pme-rgr-161.123";"172.20.161.123";"Industrial"
"lna-rgr-20.157.125";"172.20.157.125";"Industrial"
"qui-rgr-20.156.125";"172.20.156.125";"Industrial"
"mro2-rgr-40.161";"172.19.40.161";"Industrial"
"cam3-rgr-20.154.125";"172.20.154.125";"Industrial"
"spa2-rgr-40.169";"172.19.40.169";"Industrial"
"mim-rgr-20.143.253";"172.19.32.170";"Industrial"
"gar1-rgr-20.139.125";"172.20.139.125";"Industrial"
"cax6-rgr-20.136.125";"172.20.136.125";"Industrial"
"npe2-rgr-20.138.125";"172.20.138.125";"Industrial"
"itr-rgr-20.26.253";"172.20.26.253";"Industrial"
"apa-rgr-32.98";"172.19.32.98";"Industrial"
"cmo-rgr-32.54";"172.19.32.54";"Industrial"
"cgr-rgr-32.221";"172.19.32.221";"Industrial"
"iju2-rgr-8.34";"172.19.8.34";"Industrial"
"uhsd-rgr-20.12.253";"172.20.12.253";"Industrial"
"atl2-rgr-87.123";"172.16.87.123";"Industrial"
"fha-rgr-20.131.125";"172.20.131.125";"RGR"
"SW3-RGR-UHPJ-72.254";"10.240.72.254";"SW-Extreme"
"dou-rgr-35.253";"10.240.35.253";"Industrial"
"mim-rgr-vsat-20.143.125";"172.20.143.125";"Industrial"
"uhbc-rgr-vsat-20.0.253";"172.20.0.253";"Industrial"
"ControlONE Sede";"10.8.0.150";"Corporativa"
"FW-NSR-SEC";"172.31.89.21";"Industrial"
"FW-NSR-PRI";"172.30.89.21";"Industrial"
"FW-ARE-PRI";"172.30.33.21";"Industrial"
"FW-ARE-SEC";"172.31.33.21";"Industrial"
"FW-CNO-PRI";"172.30.64.21";"Industrial"
"FW-CNO-SEC";"172.31.64.21";"Industrial"
"FW-LON-PRI";"172.30.32.21";"Industrial"
"FW-LON-SEC";"172.31.32.21";"Industrial"
"FW-BIG-PRI";"172.30.29.21";"Industrial"
"FW-BIG-SEC";"172.31.29.21";"Industrial"
"FW-BLU-PRI";"172.30.65.21";"Industrial"
"FW-BLU-SEC";"172.31.65.21";"Industrial"
"zdb02agent2";"10.0.41.197";"Zabbix servers"
"zdb03agent2";"10.0.41.190";"Zabbix servers"
"SW3-RGR-SID-52.254";"10.240.52.254";"SW-Extreme"
"SW3-RGR-SSA-54.254";"10.240.54.254";"SW-Extreme"
"sta-rgr-40.7";"172.19.40.7";"Industrial"
"SW3-RGR-STA-55.254";"10.240.55.254";"SW-Extreme"
"SW3-RGR-XAN-58.254";"10.240.58.254";"SW-Extreme"
"servmf";"10.0.40.197";"Corporativa"
"SW_SAGE_BLU_RedeBaixa";"172.16.71.46";"Industrial"
"SW_SAGE_BLU_RedeAlta";"172.16.71.46";"Industrial"
"zpi-tlc";"10.0.41.76";"Zabbix servers"
"zpc";"10.0.41.66";"Zabbix servers"
"BIGRDP_230_3";"172.20.132.98";"RDPs"
"CNORDP_525_1";"10.240.32.20";"RDPs"
"zs02";"10.0.41.60";"Zabbix servers"
"zpi-rgr";"10.0.41.77";"Zabbix servers"
"sed-ons-94.184";"172.16.94.184";"Industrial"
"sed-rm-94.185";"172.16.94.185";"Industrial"
"ons-gw1-96.149";"172.16.96.149";"Industrial"
"ons-gw2-96.150";"172.16.96.150";"Industrial"
"sed-fs-96.254";"172.16.96.254";"Industrial"
"coc-ons-19.16.126";"172.19.16.126";"Industrial"
"SW3-RGR-ONS-SAR";"172.19.255.3";"SW-Extreme"
"SW3-RGR-ONS-SAL";"172.19.255.4";"SW-Extreme"
"ons-sal-19.255.8";"172.19.255.8";"Industrial"
"NPE2RDP_230_2";"172.20.138.99";"RDPs"
"cch-fw-scada";"172.20.20.15";"Industrial"
"liv2-ro-20.22.254";"172.20.22.254";"Roteadores Telecontrole"
"liv2-ro-20.23.254";"172.20.23.254";"Industrial"
"gui-rgr-35.252";"10.240.35.252";"Discovered hosts"
"SW-RGR-SED94B";"172.19.0.116";"Discovered hosts"
"servidorrgr";"172.19.0.254";"Discovered hosts"
"uhsd-rgr-vsat-19.32.121";"172.19.32.121";"Discovered hosts"
"vmt-rgr-20.182.125";"172.20.182.125";"Discovered hosts"
"guo-rgr-20.197.125";"172.20.197.125";"Discovered hosts"
"uhpj-rgr-vsat-20.6.251";"172.20.6.251";"Industrial"
"cno-rgr-24.2";"172.19.24.2";"Industrial"
"cgr-rgr-32.222";"172.19.32.222";"Industrial"
"dou-rgr-32.46";"172.19.32.46";"Industrial"
"lon-rgr-32.209";"172.19.32.209";"Industrial"
"tpr2-rgr-97.189";"172.16.97.189";"Industrial"
"gua3-rgr-20.191.125";"172.20.191.125";"Discovered hosts"
"scr1-rgr-66.254";"10.240.66.254";"Industrial"
"cta-rgr-vsat-20.160.125";"172.20.160.125";"Industrial"
"ons-sw-sal-edd";"172.19.161.12";"Industrial"
"ons-sar-19.255.7";"172.19.255.7";"Industrial"
"sed-ons-96.184";"172.16.96.184";"Industrial"
"EDD-CGR";"10.6.16.10";"Discovered hosts"
"EDD-NAD";"10.6.16.11";"Discovered hosts"
"EDD-TRN";"10.6.16.12";"Discovered hosts"
"EDD-SCR1";"10.6.25.2";"Discovered hosts"
"EDD-SCR1-02";"10.6.25.3";"Discovered hosts"
"EDD-UHBC-1";"10.6.26.10";"Discovered hosts"
"EDD-UHBC-2";"10.6.26.11";"Discovered hosts"
"EDD-NSR-230";"10.13.89.12";"Discovered hosts"
"EDD-LON";"10.6.32.3";"Discovered hosts"
"EDD-ASS";"10.6.32.4";"Discovered hosts"
"EDD-JUP";"10.6.32.6";"Discovered hosts"
"EDD-ARA";"10.6.32.7";"Discovered hosts"
"EDD-IVP";"10.6.37.20";"Discovered hosts"
"EDD-STIV";"10.6.37.21";"Discovered hosts"
"EDD-BNE";"10.6.41.5";"Discovered hosts"
"EDD-JLB";"10.6.41.7";"Discovered hosts"
"EDD-CIA";"10.13.62.11";"Discovered hosts"
"EDD-UMR";"10.13.62.12";"Discovered hosts"
"EDD-GUI";"10.6.120.10";"Discovered hosts"
"EDD-ITQ";"10.13.62.14";"Discovered hosts"
"EDD-JUT";"10.13.62.15";"Discovered hosts"
"EDD-DOU";"10.6.42.16";"Discovered hosts"
"EDD-DOU-VIVO-G79";"10.13.62.17";"Discovered hosts"
"EDD-MGA";"10.13.62.10";"Discovered hosts"
"EDD-QUI";"10.6.51.10";"Discovered hosts"
"EDD-BNE-2";"10.6.56.9";"Discovered hosts"
"EDD-SID";"10.6.56.10";"Discovered hosts"
"EDD-IJUI2-2";"10.6.59.11";"Discovered hosts"
"EDD-IJUI2-1";"10.6.59.12";"Discovered hosts"
"EDD-MGA-2";"10.13.42.20";"Discovered hosts"
"EDD-CNO-1";"10.6.64.11";"Discovered hosts"
"EDD-MBR";"10.6.66.7";"Discovered hosts"
"EDD-STA";"10.6.66.8";"Discovered hosts"
"EDD-STA-2";"10.6.66.9";"Discovered hosts"
"EDD-CCH";"10.6.68.11";"Discovered hosts"
"EDD-LIV2-1";"10.6.69.11";"Discovered hosts"
"EDD-LIV2-2";"10.6.69.12";"Discovered hosts"
"EDD-ALE-1";"10.6.78.11";"Discovered hosts"
"EDD-CCH-2";"10.6.69.14";"Discovered hosts"
"EDD-PFU";"10.6.77.9";"Discovered hosts"
"EDD-MCH";"10.6.82.10";"Discovered hosts"
"EDD-ANA";"10.6.91.11";"Discovered hosts"
"EDD-AQU";"10.6.91.12";"Discovered hosts"
"EDD-PME-1";"10.6.98.10";"Discovered hosts"
"EDD-PME-2";"10.6.98.11";"Discovered hosts"
"EDD-SMA3-10";"10.6.102.10";"Discovered hosts"
"EDD-MBR-2";"10.6.106.7";"Discovered hosts"
"IRN_PRI";"172.30.113.1";"Discovered hosts"
"IRN_SEC";"172.31.113.1";"Discovered hosts"
"SW3-SED-CPD02";"10.6.1.20";"SW-Extreme"
"SW3-PFU-CLI";"10.6.77.2";"SW-Extreme"
"SW3-DRO-1";"10.6.30.10";"SW-Extreme"
"SW3-STA-CLI2";"10.6.66.5";"Corporativa"
"SW3-STA-CLI";"10.6.66.2";"SW-Extreme"
"SW3-GRA-CLI";"10.6.27.5";"Corporativa"
"EDD-NPR2";"10.13.36.11";"Discovered hosts"
"SDI_SEC";"172.31.118.1";"Discovered hosts"
"SDI_PRI";"172.30.118.1";"Discovered hosts"
"EDD-CZA";"10.13.77.3";"Discovered hosts"
"EDD-TPR2";"10.13.77.5";"Discovered hosts"
"EDD-SMT";"10.13.77.7";"Discovered hosts"
"EDD-CHA-01";"10.13.89.4";"Discovered hosts"
"EDD-CHA-02";"10.13.27.73";"Discovered hosts"
"EDD-NSR-1";"10.13.89.3";"Discovered hosts"
"EDD-GRA";"10.27.28.3";"Discovered hosts"
